background	rust	chlorosis	leaf
235, 240, 241	51, 117, 148	57, 130, 112	53, 123, 100
235, 240, 241	45, 111, 151	49, 125, 107	50, 120, 97
239, 244, 245	53, 110, 127	57, 125, 105	22, 94, 78
240, 245, 246	40, 103, 126	59, 128, 107	47, 117, 97
235, 240, 241	32, 101, 133	53, 122, 105	58, 128, 105
235, 238, 241	24, 94, 136	53, 125, 108	55, 124, 101
237, 242, 243	37, 96, 113	60, 126, 107	25, 95, 79
236, 241, 242	34, 97, 121	63, 129, 109	45, 115, 95
240, 245, 246	34, 102, 134	55, 124, 105	51, 120, 98
245, 250, 251	29, 98, 141	51, 122, 102	55, 123, 100
227, 232, 234	1, 93, 125	69, 129, 115	32, 138, 110
228, 233, 234	0, 85, 128	60, 120, 106	41, 142, 115
236, 241, 242	38, 125, 169	41, 107, 92	33, 132, 107
